ID,Call,CN,Type
06DDDDDD,G-XIIO,110,Ventus 3T 18m
06DDDDD1,D-KPEB,1B,ASG 29Es
06DDDDD2,G-CKVT,210,Ventus 3T 18m
06DDDDD3,D-KHBT,2X,Ventus 3T 18m
06DDDDD4,ZS-GEG,30,JS1B EVO
06DDDDD5,D-KNHM,31,ASH 31 Mi 21m
06DDDDD6,D-KVWB,3E,Ventus 2cxt 18m
06DDDDD7,D-KLAC,4A,Ventus 2cT
06DDDDD8,D-KVAD,8D,JS3 18m
06DDDDD9,D-KDAB,AB,JS3 18m
06DDDD10,ZS-GCK,AG,JS1B EVO
06DDDD11,D-KTAJ,AJ,ASH 31 Mi 18m
06DDDD12,D-4638,AR,ASH 25 25,6m 790kg
06DDDD13,D-KICU,CU,Ventus 3F 18m
06DDDD14,D-KEWV,F2,Ventus 3T 18m
06DDDD15,D-KKGE,GE,ASG 29E
06DDDD16,D-KHPU,HU,Ventus 2cM
06DDDD17,D-KDSF,IYB,Ventus 3T 18m
06DDDD18,D-KJVF,K,ASG 29E
06DDDD19,D-KMKA,KA,JS3 18m
06DDDD20,ZS-GXL,LEO,JS1C 21m
06DDDD21,D-KFLH,LH,Ventus 2cxM 18m
06DDDD22,D-KVLS,LS,Antares 23E
06DDDD23,D-KGBL,LV,Ventus 2cxM 18m
06DDDD24,D-KJMD,MD,ASG 29E
06DDDD25,G-SIIO,N1,Ventus 3T 18m
06DDDD26,D-KKHL,PC,Antares 23T
06DDDD27,D-KSGA,RR,ASG 29E
06DDDD28,D-KDRY,RY,JS3 18m
06DDDD29,D-KCSM,SM,ASG 29E
06DDDD30,ZS-GSK,VV,JS1C 18m EVO
06DDDD31,D-KTWZ,WZ,Ventus 3M 18m
06DDDD32,D-KGCM,Y,Ventus 3F 18m
06DDDD33,D-KBYY,YY,Eta
